Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC
LogisticRegression,Train,0.7241756524456946,0.7295340050377834,0.7188954390319579,0.7241756524456946,0.8038376952180134
LogisticRegression,Validation,0.73,0.7308641975308642,0.7344913151364765,0.7326732673267327,0.7979886368608236
LogisticRegression,Test,0.7285,0.730883813306852,0.7301587301587301,0.7305210918114144,0.8061905961981567
RandomForest,Train,0.7416783872480075,0.7378787878787879,0.7555072913434688,0.7465889927947263,0.8228507163953042
RandomForest,Validation,0.72375,0.7166666666666667,0.7468982630272953,0.7314702308626975,0.79668856373171
RandomForest,Test,0.733,0.7235849056603774,0.7609126984126984,0.741779497098646,0.8094898073476704
ExtraTrees,Train,0.7416783872480075,0.7307466196355086,0.7713310580204779,0.7504905660377359,0.8331015426746206
ExtraTrees,Validation,0.72625,0.7105263157894737,0.7704714640198511,0.7392857142857143,0.7936477676869325
ExtraTrees,Test,0.7245,0.7102115915363385,0.7658730158730159,0.7369928400954654,0.8052935387864824
GradientBoosting,Train,0.7469917174558525,0.7308578008059874,0.7877753645671735,0.7582499626698521,0.8268661036739242
GradientBoosting,Validation,0.725,0.706081081081081,0.7779156327543424,0.7402597402597403,0.8039022507516047
GradientBoosting,Test,0.731,0.716789667896679,0.7708333333333334,0.7428298279158699,0.8153626832117256
HistGradientBoosting,Train,0.7426160337552743,0.7264367816091954,0.784362395283897,0.7542891242727137,0.8214883031360709
HistGradientBoosting,Validation,0.720625,0.7010078387458006,0.7766749379652605,0.736904061212478,0.800241888606234
HistGradientBoosting,Test,0.73,0.7150735294117647,0.7718253968253969,0.7423664122137404,0.8134685619879674
XGBoost,Train,0.7371464291295515,0.7236574746008708,0.773502947564381,0.747750449910018,0.8167842357863936
XGBoost,Validation,0.72125,0.7031602708803611,0.7729528535980149,0.7364066193853428,0.798762899163078
XGBoost,Test,0.7285,0.7142857142857143,0.7688492063492064,0.7405637840420449,0.8122084813428059
LightGBM,Train,0.7448038756055634,0.730836236933798,0.7809494260006206,0.7550622468876557,0.827870280204231
LightGBM,Validation,0.72125,0.7031602708803611,0.7729528535980149,0.7364066193853428,0.8041499209330525
LightGBM,Test,0.7315,0.7202993451824135,0.7638888888888888,0.7414540202214733,0.817175799251152
CatBoost,Train,0.7491795593061416,0.7407738095238096,0.7722618678250077,0.7561901868449036,0.8309068908842381
CatBoost,Validation,0.728125,0.712,0.7729528535980149,0.7412254610350981,0.8080751417267221
CatBoost,Test,0.735,0.7250470809792844,0.7638888888888888,0.7439613526570048,0.82141357046851
